編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
41,私立,屏東縣私立宜家老人長期照顧中心（養護型）,陳金雄,新埤鄉,屏東縣新埤鄉萬隆村萬安路10之2號,08-7870515,養護,90.09.14,47,
42,私立,屏東縣私立經立老人長期照顧中心（養護型）,陳美卿,新埤鄉,屏東縣新埤鄉萬隆村萬安路68之20號,"08-7870052
08-7870562",養護,89.07.12,49,
43,私立,屏東縣私立永慈老人養護中心,陳恆男,新園鄉,屏東縣新園鄉鹽埔村義仁路213號,08-8332213,養護,92.08.15,49,
44,私立,屏東縣私立安宮老人長期照顧中心（養護型）,劉桂君,新園鄉,屏東縣新園鄉鹽埔村義仁路396號,08-8311055 ,養護,99.03.15,48,
45,私立,屏東縣私立昱秀老人養護中心,劉秀美,新園鄉,屏東縣新園鄉鹽埔村義仁路398號,08-8311055,養護,95.01.12,49,
46,私立,屏東縣私立靜園老人長期照顧中心(養護型),吳俊緯,萬巒鄉,屏東縣萬巒鄉硫黃村光復路37之8號,08-7810205,養護,100.10.18,48,
47,私立,屏東縣私立長生老人長期照顧中心（養護型）,陳玉枝,潮州鎮,屏東縣潮州鎮彭城里永樂路78號,"08-7806815 
08-7806729",養護,90.03.14,45,
48,私立,屏東縣私立喜樂老人長期照顧中心（養護型）,麥美花,鹽埔鄉,屏東縣鹽埔鄉洛陽村七份路10-20號,08-7032247,養護,106.8.10,32,
49,私立,屏東縣私立柏愛老人養護中心,涂志宗,鹽埔鄉,屏東縣鹽埔鄉新二村大仁東街10巷13-9號,08-7626700,養護,97.10.17,49,
50,私立,屏東縣私立長春園老人長期照顧中心(養護型) ,何明俊,高樹鄉,屏東縣高樹鄉舊庄村慈新路2段50號,08-7962999,養護,103.7.17,49,
51,私立,屏東縣私立新安老人長期照顧中心(養護型) ,黃玉嬌,新埤鄉,屏東縣新埤鄉新埤村中正路96號,08-7973737,養護,103.7.28,48,
52,私立,屏東縣私立托媞園老人長期照顧中心(養護型),許兆嘉,長治鄉,屏東縣長治鄉崙上村崑崙路179-6~7號,08-7620407,養護,103.9.26,49,
53,私立,屏東縣私立田園老人長期照顧中心(養護型),林展鵬,竹田鄉,屏東縣竹田鄉六巷村太平路70巷20號,"08-7781140
08-7781141",養護,103.11.20,49,
54,私立,屏東縣私立怡康園老人長期照顧中心(養護型),吳忠翰,潮州鎮,屏東縣潮州鎮四春里潮義路430之22號,08-7811518,養護,103.12.8,46,
55,私立,屏東縣私立朝陽老人長期照顧中心(養護型),閻嘉琪,長治鄉,屏東縣長治鄉香揚村瑞源路90號,08-7234567,養護,106.2.15,32,
56,私立,屏東縣私立天生老人長期照顧中心(養護型),蘇娟禕,崁頂鄉,屏東縣崁頂鄉北勢村中正路838號,08-8631317,養護,106.8.16,49,
,,,,,,,,,,
其他,,,,,,,,,,
"廢止設立許可
109.5.20",私立,屏東縣私立宗佑老人長期照顧中心（養護型）,周麗敏,長治鄉,屏東縣長治鄉榮華村信義路1328號,08-7623716,養護,98.11.05,0,
