編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
16,私立,彰化縣私立和慷老人養護中心,陳玥靜,和美鎮,彰化縣和美鎮鹿和路5段301巷25號,04-7559222,"養護
長照",94.9.21,43,
17,私立,彰化縣私立慈美老人長期照顧中心(養護型),洪彩雲,和美鎮,彰化縣和美鎮西美路183號,04-7568497,"養護
長照",101.6.12,49,
18,私立,財團法人彰化縣私立珍瑩老人養護中心,林亮暉,社頭鄉,彰化縣社頭鄉山腳路2段726巷23號,04-8721297,養護,83.6.20,45,
19,私立,彰化縣私立一尚安老人養護中心,吳憲政,社頭鄉,彰化縣社頭鄉中山路三段60巷288弄60號,04-8736035,"養護
長照",93.4.23,41,
20,私立,財團法人彰化縣私立愛如心老人養護中心,賴照發,芬園鄉,彰化縣芬園鄉舊社村中興路376號,049-2520987,"養護
長照",91.10.31,77,
21,私立,彰化縣私立芬園老人養護中心,陶怡佃,芬園鄉,彰化縣芬園鄉大彰路一段458號,04-8590760 ,"養護
長照",96.10.22,35,
22,私立,財團法人彰化縣私立茉莉園社會福利慈善事業基金會附設彰化縣私立茉莉園老人長期照顧中心(養護型),蔡劍儂,花壇鄉,彰化縣花壇鄉北口村彰花路651巷37號,04-7519088,長照,97.6.26,156,
23,私立,彰化縣私立通堡老人長期照顧中心(長期照護型),張宗智,花壇鄉,彰化縣花壇鄉中庄村中山路1段40巷88號,04-7877538,長照,97.1.11,49,
24,私立,彰化縣私立聖仁老人長期照顧中心(長期照護型),薛裕仁,花壇鄉,彰化縣花壇鄉三春村後厝一巷12弄36號,04-7877779,長照,96.12.31,49,
25,私立,彰化縣私立龍慶老人養護中心,黃聖傑,花壇鄉,彰化縣花壇鄉三春村後厝2巷41弄3號,04-7878407,養護,88.5.17,48,
26,私立,彰化縣私立馨園老人長期照護中心,李淑春,花壇鄉,彰化縣花壇鄉白沙村溪北街17號,04-7878847,長照,92.10.7,49,
27,私立,彰化縣私立詮福莊園老人長期照顧中心(養護型),陳羿行,芳苑鄉,彰化縣芳苑鄉二溪路草二段807號,04-8862928,養護,108.8.1,49,
28,私立,彰化縣私立澄欣老人長期照顧中心(養護型),賴春蓮,芳苑鄉,彰化縣芳苑鄉漢寶村漢崙路77巷8號,04-8991047,養護,105.8.18,49,
29,私立,財團法人彰化縣私立廣成社會福利慈善事業基金會附設老人安養中心,蔡東龍,員林市,彰化縣員林市員水路1段102巷76號,04-8337536,"安養
養護",79.12.15,101,
30,私立,彰化縣私立大員林老人長期照顧中心(養護型),吳憲政,員林市,彰化縣員林市林厝里5鄰員南路360號,04-8394888,"養護
長照",103.4.1,49,
31,私立,彰化縣私立良安老人長期照護中心,周志威,員林市,彰化縣員林市新義街85號3樓,04-8397555,長照,95.2.24,40,
32,私立,彰化縣私立惠親老人養護中心,張陳玉發,員林市,彰化縣員林市崙雅里崙雅巷5-27號,04-8310331,"養護
長照",95.12.28,49,
33,私立,彰化縣私立友福老人長期照顧中心(養護型),黃大堯,埔心鄉,彰化縣埔心鄉羅永路49-9號1樓,04-8285720,養護,98.5.22,45,
34,私立,彰化縣私立迦南老人長期照顧中心(養護型),張詩麗,埔心鄉,彰化縣埔心鄉南館村四湳路383巷30號,04-8281278,"養護
長照",101.3.12,49,
35,私立,彰化縣私立埔心老人長期照顧中心,黃久倫,埔心鄉,彰化縣埔心鄉興霖路577號,04-8282932,養護,89.5.17,49,
36,私立,彰化縣私立羅厝老人長期照顧中心(長期照護型),黃大本,埔心鄉,彰化縣埔心鄉羅永路49-8號,04-8283650,"養護
長照",99.11.23,41,
37,私立,彰化縣私立好修老人長期照顧中心(養護型),劉王玉英,埔鹽鄉,彰化縣埔鹽鄉好修村3鄰員鹿路二段170號,04-8654888,養護,103.2.25,49,
38,私立,彰化縣私立和煬老人長期照顧中心(養護型),謝志能,埤頭鄉,彰化縣埤頭鄉芙朝村東環路二段320巷36號,04-8921878,養護,101.10.11,48,
39,私立,彰化縣私立晨閔老人長期照顧中心(養護型),謝政諭,埤頭鄉,彰化縣埤頭鄉彰水路1段275號,04-8891992,養護,108.5.20,33,
40,私立,彰化縣私立松柏老人長期照護中心,金紹文,溪州鄉,彰化縣溪州鄉榮光村政民路287巷51弄5號,04-8795090,長照,96.9.7,48,
41,私立,彰化縣私立新溪湖老人長期照顧中心(養護型),黃淑媛,溪湖鎮,彰化縣溪湖鎮媽厝里湳底路89-38號,04-8821991,"養護
長照",99.8.5,43,
42,私立,彰化縣私立聖榕園老人長期照顧中心(養護型),莊清?,溪湖鎮,彰化縣溪湖鎮東溪里榕樹路130號,04-8822022,養護,97.6.6,44,
43,私立,彰化縣私立璽悅老人長期照顧中心(養護型),洪政暐,溪湖鎮,彰化縣溪湖鎮媽厝里湳底路87之18號,04-8810558,養護,109.7.9,49,
44,私立,財團法人台灣省私立台中仁愛之家附設彰化縣私立慈惠老人養護中心,何明憲,彰化市,彰化縣彰化市中民街100號,04-7276668,"養護
長照",95.3.17,212,
45,私立,彰化縣私立吉祥老人養護中心,陳國棟,彰化市,彰化縣彰化市永福里光復路25號2至4樓,04-7299727,養護,89.6.27,49,
46,私立,彰化縣私立和園老人長期照顧中心(長期照護型),李淑春,彰化市,彰化縣彰化市東芳里環河南路一段118號,04-7516831,長照,110.4.15,49,
47,私立,彰化縣私立和德老人長期照顧中心(養護型),黃朝吉,彰化市,彰化縣彰化市東芳里永芳路58號,04-7638508,"養護
長照",102.12.9,49,
48,私立,彰化縣私立崇愛老人長期照護中心,陳佩君,彰化市,彰化縣彰化市金馬路三段912號2-5樓,04-7626956,長照,90.8.14,49,
49,私立,彰化縣私立新仁愛老人養護中心,薛裕仁,彰化市,彰化縣彰化市延平路475巷9號1樓、2樓,04-7119597,養護,91.6.5,10,
50,私立,彰化縣私立群燕老人養護中心,王燕珠,彰化市,彰化縣彰化市林森路157號,04-7610988,"養護
長照",95.8.26,35,
51,私立,彰化縣私立彰居老人長期照顧中心(長期照護型),李勝勛,彰化市,彰化縣彰化市民族路178-1號,04-7286828,長照,98.5.14,29,
52,私立,彰化縣私立寶祥老人長期照護中心,陳國棟,彰化市,彰化縣彰化市永福里中山路二段605號3樓-2、-3,04-7290005,長照,93.3.25,22,
53,私立,彰化縣私立文祥老人長期照顧中心(養護型),施壹程,福興鄉,彰化縣福興鄉秀厝村秀安二街112巷77號,04-7781015,養護,103.12.9,48,
54,私立,彰化縣私立文開老人長期照顧中心,施壹程,福興鄉,彰化縣福興鄉秀厝村秀安二街112巷75號,04-7781015,長照,105.8.18,30,
,,,,,,,,,,
其他,,,,,,,,,,
歇業,私立,彰化縣私立大眾老人養護中心（歇業日期109.03.16）,莊建賢,和美鎮,彰化縣和美鎮源埤里德南路18號,04-7626552,"長照
養護",91.8,25,
歇業,私立,彰化縣私立全祥老人養護中心（歇業日期109.12.14）,鄭玉珠,彰化市,彰化縣彰化市台鳳里互助一街五巷九十五號1樓,04-7371619,"長照
養護",91.11,10,
歇業,私立,彰化縣私立伍倫惠來老人養護中心（歇業日期108.7.15）,林右崇,員林市,彰化縣員林市光明街77號,04-8326161#830,養護,89.6,42,
歇業,私立,彰化縣私立鈺燕老人養護中心（歇業日期107.6.20）,王燕珠,彰化市,彰化縣彰化市金馬路1段595號2-3樓,04-7276552,養護,91.8,22,
