編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
20,私立,高雄市私立中安崇恩老人長期照顧中心(養護型),龔崇玉,小港區,高雄市小港區桂園路106號,07-7915106,養護,104.12.29,49,
21,私立,信義醫療財團法人附設高雄市私立方舟養護之家,張復民,苓雅區,高雄市苓雅區成功一路135巷26號1-5樓,07-3321111,養護,90.07.31,86,
22,私立,高雄市私立吉翁養護之家,陳明香,苓雅區,高雄市苓雅區澄清路200號1-2樓,07-7470522,養護,89.10.13,46,
23,私立,高雄市私立新立養護中心,鄭銘權,苓雅區,高雄市苓雅區三多四路63號9樓之7,07-3301000,養護,89.12.08,37,
24,私立,高雄市私立芳園老人長期照顧中心(養護型),劉晉豪,苓雅區,高雄市苓雅區文山路142號,07-7470306,養護,104.07.27,48,
25,私立,高雄市私立好順心老人長期照顧中心(養護型),陳修輝,苓雅區,高雄市苓雅區二聖一路12號,07-7166177,養護,106.05.31,49,
26,私立,高雄市私立順心老人長期照顧中心(養護型),吳明峰,苓雅區,高雄市苓雅區二聖一路16號,07-7165977,養護,106.05.31,49,
27,私立,高雄市私立大順老人長期照顧中心（養護型）,莊鍾梅樹,前金區,高雄市前金區七賢二路220-8號1-5樓,07-2015501,養護,92.02.26,48,
28,私立,高雄市私立健生老人養護中心,游珮玲,前金區,高雄市前金區七賢二路426號3樓,07-2614912,養護,88.06.22,48,
29,私立,高雄市私立安安養護之家,曾?琴,前金區,高雄市前金區中正四路105號3-4樓,07-2412956,養護,89.02.10,47,
30,私立,高雄市私立孝升老人長期照顧中心(養護型),林鴻坤,前金區,高雄市前金區七賢二路256號1-6樓,07-2723067,養護,93.05.18,49,
31,私立,高雄市私立新松柏養護之家,楊麗珠,三民區,高雄市三民區十全二路323號4樓,07-3229507,養護,88.02.08,43,
32,私立,高雄市私立富華養護中心,蕭金富,三民區,高雄市三民區九如二路150號15樓之1,07-3161076,養護,90.09.18,46,
33,私立,高雄市私立慈融老人長期照顧中心(養護型),李宗融,三民區,高雄市三民區中華二路213號,07-3223278,養護,97.03.31,42,
34,私立,高雄市私立德安養護之家,李憲宗,三民區,高雄市三民區博愛一路55號11樓,07-3121010,養護,88.09.06,47,
35,私立,高雄市私立天誠老人養護中心,謝榮寬,三民區,高雄市三民區九如二路150號5樓之1,07-3125009,養護,88.12.17,49,
36,私立,高雄市私立高生老人養護中心,侯淑惠,三民區,高雄市三民區博愛一路372號8樓,07-3138636,養護,88.12.23,30,
37,私立,高雄市私立和興老人長期照顧中心(養護型),薛正忠,三民區,高雄市三民區建興路277號4樓,07-3871285,養護,107.12.12,47,
38,私立,高雄市私立佛心老人長期照顧中心(養護型),陳盈好,三民區,高雄市三民區寶安街62號1-2樓,07-3873677,養護,102.10.01,49,
39,私立,高雄市私立安心老人長期照顧中心(養護型),吳明峰,三民區,高雄市三民區凱歌路161號1樓,07-2223077,養護,102.06.11,38,
40,私立,高雄市私立永康老人養護中心,陳翊靖,三民區,高雄市三民區建國二路2號8樓,07-2388603,養護,89.06.12,40,
41,私立,高雄市私立大昌老人長期照顧中心(養護型),劉?豪,三民區,高雄市三民區大昌二路346號2、3樓,07-3835495,養護,97.11.04,36,
42,私立,高雄市私立仁祥養護之家,張素真,三民區,高雄市三民區九如一路299、301號1-5樓,07-3973255,養護,95.08.21,47,
43,私立,高雄市私立信心養護中心,吳明峰,三民區,高雄市三民區自由一路61號(1-2樓),07-3137999,養護,93.12.31,47,
44,私立,高雄市私立立昌老人長期照顧中心(養護型),李慧芳,三民區,高雄市三民區大昌二路346號4、5樓,07-3835495,養護,97.11.04,31,
45,私立,高雄市私立昭和養護之家,張仁美,三民區,高雄市三民區九如二路295號1-5樓,07-3222749,養護,94.11.14,40,
46,私立,高雄市私立善之老人長期照顧中心(養護型),陳鶴傑,三民區,高雄市三民區松江街348號,07-3228986,養護,106.02.24,32,
47,私立,高雄市私立普祐老人長期照顧中心(養護型),陳奎妙,三民區,高雄市三民區自立一路226號4樓,07-3232938,養護,97.08.12,37,
48,私立,高雄市私立安泰老人長期照顧中心(養護型),汪文誠,三民區,高雄市三民區大昌二路268號4樓,07-3907789,養護,99.12.08,49,
49,私立,高雄市私立安大老人長期照顧中心(養護型),徐愛齡,三民區,高雄市三民區大昌二路268號3樓,07-3978666,養護,102.05.29,49,
50,私立,高雄市私立珍心老人長期照顧中心(養護型),林幸櫻,三民區,高雄市三民區建工路445號1樓,07-3806101,養護,104.08.28,40,
51,私立,高雄市私立新珍心老人長期照顧中心(養護型),丁顗修,三民區,高雄市三民區建工路445號2樓,07-3806101,養護,105.06.01,42,
52,私立,高雄市私立信心好老人長期照顧中心(養護型),蔡孟憲,三民區,高雄市三民區自由一路63號(3.4樓),07-3137999,養護,106.5.19,48,
53,私立,財團法人高雄市私立濟眾老人養護中心,曹世昌,楠梓區,高雄市楠梓區加昌路298號1.3.4.5.7.8樓,07-3639437,養護,85.02.06,138,
54,私立,高雄市私立吉仁養護中心,廖月琴,楠梓區,高雄市楠梓區清平街51巷2號1-3樓,07-3531408,養護,88.06.03,18,
55,私立,高雄市私立小護士老人長期照顧中心(養護型),翁仁輝,楠梓區,高雄市楠梓區後昌路837巷11號1-2樓,07-3610037,養護,105.11.04,20,
56,私立,高雄市私立怡泉老人長期照顧中心（養護型）,曹世昌,楠梓區,高雄市楠梓區盛昌街255巷100號1-4樓,07-3685535,養護,101.11.08,30,
57,私立,高雄市私立健安老人養護中心,許怡婷,楠梓區,高雄市楠梓區東昌街17號1樓,07-3012490,養護,93.07.02,47,
58,私立,高雄市私立新健安老人養護中心,許怡婷,楠梓區,高雄市楠梓區東昌街19號1樓,07-3012490,"養護
長期照護",93.07.02,47,
59,私立,高雄市私立新禾康養護之家,康橘,楠梓區,高雄市楠梓區惠民路210號1樓,07-3644351,養護,96.12.19,31,
60,私立,高雄市私立崇恩老人長期照顧中心（養護型）,龔明聰,楠梓區,高雄市楠梓區立仁街131、133號5樓,07-3539619,養護,99.07.21,49,
61,私立,高雄市私立崇祐老人長期照顧中心（養護型）,龔明聰,楠梓區,高雄市楠梓區常德路317巷9弄29號,07-3516260,養護,102.07.15,34,
62,私立,高雄市私立德民老人長期照顧中心(養護型),曹世昌,楠梓區,高雄市楠梓區德民路797號,07-3626281,養護,106.06.02,47,
63,公立,高雄市政府社會局仁愛之家,歐美玉,燕巢區,高雄市燕巢區深水里深水路1號,07-6151439,"養護
安養",61.03.01,424,
64,私立,高雄市私立康欣老人長期照顧中心(養護型),邱美玲,燕巢區,高雄市燕巢區安東街188號1F,07-6141273,養護,90.06.13,49,
65,私立,財團法人濟興長青基金會附設高雄市私立濟興長青園老人長期照顧中心（長期照護型）,陳銘華,燕巢區,高雄市燕巢區橫山路72號,07-6155548,長期照護,102.04.24,95,
66,私立,高雄市私立天恩老人長期照顧中心(養護型),劉郁妙,仁武區,高雄市仁武區仁勇路95號1-2樓,07-7334967,養護,102.11.22,37,
67,私立,高雄市私立雪美老人長期照顧中心（養護型）,邱鐘緯,仁武區,高雄市仁武區赤山里澄仁西街239號1樓,07-3727063,養護,89.03.03,47,
68,私立,高雄市私立信愛老人養護中心,楊永謀,仁武區,高雄市仁武區仁慈里仁慈路85巷18號1-2樓,07-7353687,養護,92.01.21,32,
69,公辦民營,高雄市明山慈安居老人養護中心,莊欽竹,仁武區,高雄市仁武區考潭里成功路5號1-3樓,07-3722268,養護,95.05.09,90,
70,私立,高雄市私立大灣家園老人長期照顧中心(養護型),張碧子,仁武區,高雄市仁武區仁孝路450巷15號1-4樓,07-3746110,養護,102.04.18,36,
71,私立,高雄市私立鑫安大老人長期照顧中心(養護型),徐愛齡,仁武區,高雄市仁武區北屋六街57號2樓,07-3736369,養護,108.10.01,49,
72,私立,高雄市私立鑫安泰老人長期照顧中心(養護型),汪文誠,仁武區,高雄市仁武區北屋六街57號1樓,07-3736635,養護,108.10.01,49,
73,私立,高雄市私立橋頭老人養護中心,許育豪,橋頭區,高雄市橋頭區林里公厝北路46號1樓,07-6128510,養護,88.12.15,30,
74,私立,高雄市私立泰和老人養護中心,凌台瑛,橋頭區,高雄市橋頭區橋頭里成功路97號1-4樓,07-6111128,養護,89.11.27,43,
75,私立,高雄市私立橋頭社區老人養護中心,許雲峰,橋頭區,高雄市橋頭區成功路8號1-5樓,07-6111108,養護,96.03.07,49,
76,私立,高雄市私立萬冠老人長期照顧中心（養護型）,邱志昌,橋頭區,高雄市橋頭區甲樹路1208號1至2樓,07-6130032,養護,108.05.16,48,
77,私立,高雄市私立菩心老人長期照顧中心（養護型）,王太南,大社區,高雄市大社區學府路196號1樓,07-3561393,養護,99.08.09,48,
78,私立,高雄市私立安康養護之家,康橘,左營區,高雄市左營區曾子路211號1樓,07-3461008,養護,90.01.31,44,
79,私立,高雄市私立新吉祥養護之家,張雪琴,左營區,高雄市左營區民族一路1167號3、4樓,07-3422435,養護,94.02.05,45,
80,私立,高雄市私立新如意老人長期照顧中心(養護型),麥倉銘,左營區,高雄市左營區民族一路1167號1、2樓,07-3101731,養護,94.02.05,38,
81,私立,高雄市私立同心老人長期照顧中心(養護型),陳惠珍,左營區,高雄市左營區大中一路430號1-4樓,07-3101122,養護,102.06.10,47,
82,私立,高雄市私立長群老人長期照顧中心(養護型),曹世昌,左營區,高雄市左營區重忠路155號1-5樓,07-3427181,養護,105.10.24,28,
83,私立,高雄市私立慈祐老人長期照顧中心(養護型),沈采岑,左營區,高雄市左營區左營大路554巷7號1-3樓,07-5889035,養護,97.05.21,37,
84,私立,高雄市私立日光樂家老人長期照顧中心（養護型）,蔡幸君,左營區,高雄市左營區博愛四路250號2樓,07-3482999,養護,100.07.20,41,
85,私立,高雄市私立偉恩老人長期照顧中心(養護型),林志偉,左營區,高雄市左營區文恩路200號1-3F,07-3508037,養護,103.02.21,49,
86,私立,高雄市私立福心老人長期照顧中心(養護型),陳修輝,左營區,高雄市左營區左營大路56號之1,07-5818877,養護,103.09.03,38,
87,私立,高雄市私立大福心老人長期照顧中心(養護型),蔡孟憲,左營區,高雄市左營區左營大路56號,07-5818877,養護,103.12.09,38,
88,私立,高雄市私立小福心老人長期照顧中心(養護型),丁金石,左營區,高雄市左營區左營大路56號2樓,07-5818877,養護,104.08.11,48,
89,私立,高雄市私立冠仁老人長期照顧中心(養護型),李宏德,左營區,高雄市左營區文上路116號,07-3411265,養護,105.03.23,48,
90,私立,高雄市私立睿祥老人長期照顧中心(養護型),林玉婕,左營區,高雄市左營區孔營路1號1樓,07-5880101,養護,105.07.01,43,
91,私立,高雄市私立日賀老人長期照顧中心(養護型),蘇俊臣,左營區,高雄市左營區博愛四路250號1樓,07-3482999,養護,105.08.01,40,
92,私立,高雄市私立睿城老人長期照顧中心(養護型),謝煥睿,左營區,高雄市左營區孔營路1號2樓,07-5880197,養護,106.5.22,46,
93,私立,高雄市私立容安老人長期照顧中心(養護型),林美芳,左營區,高雄市左營區文敬路28號,07-3501247,養護,106.05.31,48,
94,私立,高雄市私立文宗老人長期照顧中心（養護型）,宋文文,鼓山區,高雄市鼓山區文忠路123號1-2樓,07-5530506,養護,100.8.9,42,
95,私立,高雄市私立華榮養護中心,黃秀華,鼓山區,高雄市鼓山區華榮路610號,07-5535111,養護,88.03.08,49,
96,私立,高雄市私立欣榮總養護中心,阮福成,鼓山區,高雄市鼓山區葆禎路163號,07-5818501,養護,95.08.18,44,
97,私立,高雄市私立榮恩老人長期照顧中心(養護型),羅孫大英,鼓山區,高雄市鼓山區葆禎路161號,07-5818501,養護,96.12.19,31,
98,私立,高雄市私立冠安老人養護中心,李宏德,鼓山區,高雄市鼓山區美術北三路260號,07-5523031,養護,96.02.07,49,
99,私立,高雄市私立孝星老人養護中心,吳靜惠,鼓山區,高雄市鼓山區鼓山三路108-18號,07-5814818,養護,93.12.28,32,
100,私立,高雄市私立良安老人養護中心,許怡瑄,鼓山區,高雄市鼓山區永德街141號2樓,07-5857740,養護,95.09.04,42,
101,私立,高雄市私立高安老人長期照顧中心(養護型),李宏德,鼓山區,高雄市鼓山區美術北三路262號,07-5523201,養護,97.03.14,28,
102,私立,高雄市私立永安老人長期照顧中心(養護型),許展鴻,鼓山區,高雄市鼓山區永德街143號,07-5857740,養護,97.11.19,42,
103,私立,高雄市私立九如老人長期照顧中心（養護型）,許展鴻,鼓山區,高雄市鼓山區九如四路1034號1-6樓,07-5215820,養護,99.06.02,45,
104,私立,高雄市私立仁心老人長期照顧中心(養護型),陳惠珍,鼓山區,高雄市鼓山區九如四路637號1樓,07-5336363,養護,105.02.26,48,
105,私立,高雄市私立新仁心老人長期照顧中心(養護型),陳盈好,鼓山區,高雄市鼓山區九如四路637號2樓,07-5336363,養護,105.02.26,48,
106,私立,財團法人高雄市私立永安老人養護中心,陳廖梅芳,大寮區,高雄市大寮區過溪里濃中街12號1-5樓,07-7881876,養護,85.05.21,45,
107,私立,財團法人高雄市私立張簡秋風社會福利慈善事業基金會附設高雄市私立松喬老人養護中心,張簡正偉,大寮區,高雄市大寮區內坑里內坑路77之36號B1-3樓,07-7830789,養護,92.06.06,110,
108,私立,高雄市私立福安老人養護中心,李宏志,大寮區,高雄市大寮區中正路3之1號 1樓,07-7816000,養護,95.03.16,46,
109,私立,高雄市私立慈安老人長期照顧中心（養護型）,許擇良,大寮區,高雄市大寮區中正路3之48號1樓,07-7818088,養護,101.04.10,46,
110,私立,高雄市私立真安老人長期照顧中心(養護型),林寶安,大寮區,高雄市大寮區八德路570號1樓(含夾層),07-7027779,養護,104.07.06,48,
111,私立,高雄市私立博仁老人長期照顧中心（長期照護型）,陳正中,大寮區,高雄市大寮區九和路23、25號1至2樓,07-6518879,長期照護,105.01.05,49,
112,私立,高雄市私立成大老人養護中心,王惠蘭,鳳山區,高雄市鳳山區南京路387巷2之1-2號1-2樓,07-7663348,養護,90.05.09,34,
113,私立,高雄市私立文清老人養護中心,楊進良,鳳山區,高雄市鳳山區文清街125巷16號1-2樓,07-7801658,養護,92.6.5,30,
114,私立,高雄市私立康齡老人養護中心,李政道,鳳山區,高雄市鳳山區中山東路559號1-3樓,07-7025536,養護,88.12.08,44,
115,私立,高雄市私立信展老人養護中心,陳寶秀,鳳山區,高雄市鳳山區光復路6號1-4樓,07-7482383,養護,88.12.01,45,
116,私立,高雄市私立安祥老人長期照顧中心(養護型),董論,鳳山區,高雄市鳳山區南京路49巷6號1樓,07-7663456,養護,90.12.21,48,
117,私立,高雄市私立長松老人養護中心,陳淑貞,鳳山區,高雄市鳳山區五權路97號1-3樓,07-7460957,養護,90.07.23,22,
118,私立,高雄市私立松霖老人長期照顧中心（養護型）,洪玄首,鳳山區,高雄市鳳山區經武路156號1-4樓,07-7425829,養護,96.02.07,36,
119,私立,高雄市私立鳳新老人養護中心,吳明達,鳳山區,高雄市鳳山區南京路391巷1號1-2樓,07-7663348,養護,96.07.10,30,
120,私立,高雄市私立真善美老人長期照顧中心（養護型）,郭亨政,鳳山區,高雄市鳳山區經武路85之21號1-4樓,07-7482383,養護,97.12.11,33,
121,私立,高雄市私立青園老人長期照顧中心（養護型）,黃敏洲,鳳山區,高雄市鳳山區鳳頂路56號1-3樓,07-7969090,養護,98.08.05,48,
122,私立,高雄市私立快樂家族老人長期照顧中心（養護型）,陳寶秀,鳳山區,高雄市鳳山區經武路85之20號1-3樓,07-7475675,養護,101.08.20,40,
123,私立,高雄市私立宏亞老人長期照顧中心(養護型),王敏香,鳳山區,高雄市鳳山區五甲三路12號1-5樓,07-8211218,養護,103.11.12,48,
124,私立,高雄市私立新長松老人長期照顧中心（養護型）,邱敬祁,鳳山區,高雄市鳳山區中山西路70之1號1至2樓,07-7409781,養護,105.10.26,38,
125,私立,高雄市私立親育園老人養護中心,李虹慧,林園區,高雄市林園區鳳林路3段127號1樓,07-6466535,養護,92.01.21,43,
126,私立,高雄市私立祐德老人長期照顧中心（養護型）,黃萬吉,林園區,高雄市林園區鳳林路2段700號1至3樓,07-6427307,養護,105.10.24,49,
127,私立,財團法人高雄市私立宏仁老人長期照顧中心（養護型）,莊桂錦,鳥松區,高雄市鳥松區神農路971巷96號1-2樓,07-6512656,養護,104.12.01,60,
128,私立,高雄市私立圓山老人養護中心,王森本,鳥松區,高雄市鳥松區圓山路27號1樓,07-3709676,養護,88.10.08,24,
129,私立,高雄市私立慈善園老人養護中心,陳瑞芝,鳥松區,高雄市鳥松區大同路2之115號1樓,07-7334113,養護,95.8.10,44,
130,私立,高雄市私立健康老人長期照顧中心（養護型),曾文志,鳥松區,高雄市鳥松區鳥松里東山路橫一巷3號1樓,07-7321129,養護,97.05.22,48,
131,私立,高雄市私立大同老人長期照顧中心（養護型）,王秀鳳,鳥松區,高雄市鳥松區?埔里大同路8號1樓,07-7336188,養護,98.01.17,49,
132,私立,高雄市私立欣緣老人長期照顧中心（養護型）,葉禕廷,鳥松區,高雄市鳥松區神農路150巷81號,07-7313030,養護,105.04.29,43,
133,私立,高雄市私立千葉老人長期照顧中心(養護型),高淑銘,大樹區,高雄市大樹區姑山里姑山路19之1號1樓,07-6565119,養護,101.07.10,46,
134,私立,高雄市私立新樂園老人長期照顧中心（養護型）,高長億,大樹區,高雄市大樹區姑山里姑山路19之2號1樓,07-6565119,養護,104.06.02,46,
135,私立,高雄市私立欣家老人長期照顧中心(養護型),邱久芳,大樹區,高雄市大樹區中山路26號,07-6521155,養護,105.12.16,48,
136,私立,財團法人高雄市私立萃文書院社會福利慈善事業基金會附設萃文佛恩養護院,黃碧恭,內門區,高雄市內門區觀亭里番子路16之10號B1-4樓,07-6672888,養護,94.09.02,180,
137,私立,高雄市私立博愛老人長期照顧中心（養護型）,林煙,岡山區,高雄市岡山區前鋒里阿公店路3段226號1樓,07-6251515,養護,97.02.29,49,
138,私立,財團法人高雄市私立淨覺社會福利基金會附設高雄市私立淨覺老人養護中心,林嘉盛,阿蓮區,高雄市阿蓮區復安里9鄰復安95之70號B1-2樓,07-6333720,養護,95.09.11,132,
139,私立,高雄市私立愛欣老人養護中心,古煥輝,美濃區,高雄市美濃區中圳里泰安路249巷2之1號1樓,07-6813958,養護,89.08.09,34,
140,私立,高雄市私立吉園老人養護中心,余邱招蘭,美濃區,高雄市美濃區吉和里四維50之1號1樓,07-6832379,養護,90.03.06,47,
141,私立,高雄市私立新效堂老人養護中心,鍾淨卉,美濃區,高雄市美濃區獅山里獅山街35號1樓,07-6850588,養護,90.04.19,21,
142,私立,高雄市私立惠心老人養護之家,陳瑞枝,美濃區,高雄市美濃區祿興里中興路1段49巷5號1樓,07-6850826,養護,91.06.25,49,
143,私立,財團法人高雄市私立愛心老人養護中心,溫和琴,美濃區,高雄市美濃區泰安路249巷2之2號1-3樓,07-6813958,養護,92.03.31,99,
144,私立,財團法人高雄市私立日新老人長期照顧中心（養護型）,吳振豪,美濃區,高雄市美濃區德興里忠孝路1段219號,07-6815800,養護,103.12.03,83,
145,私立,高雄市私立康乃心老人長期照顧中心(養護型),潘南珠,美濃區,高雄市美濃區中圳里泰中路207號,07-6822033,養護,105.12.20,49,
146,私立,高雄市私立怡園老人養護中心,林文雄,湖內區,高雄市湖內區中山路1段402巷8弄35號1-2樓,07-6935989,養護,89.06.05,39,
147,私立,高雄市私立湖內老人養護之家,陳春惠,湖內區,高雄市湖內區中正路1段315巷22號1樓,07-6990472,養護,96.08.07,47,
148,私立,高雄市私立慈慧老人長期照顧中心（養護型）,蕭如君,湖內區,高雄市湖內區田尾里中山路1段496巷300號1樓,07-6938505,養護,97.03.05,49,
149,私立,高雄市私立永新老人長期照顧中心(養護型),曾詠幃,路竹區,高雄市路竹區中華路436號,07-6961085,養護,104.03.24,48,
150,私立,高雄市私立快樂家園老人長期照顧中心（養護型）,馮小玲,路竹區,高雄市路竹區竹南里竹南街93號1樓,07-6960460,養護,97.11.25,46,
151,私立,財團法人高雄市私立聖和社會福利慈善事業基金會附設高雄市私立聖和老人長期照顧中心（養護型）,林錫祉,路竹區,高雄市路竹區鴨寮里保民路99巷36號1-2樓,07-6071466,養護,99.04.29,200,
152,私立,高雄市私立慈心老人養護中心,張鈴柱,旗山區,高雄市旗山區旗甲路1段215巷21號1-2樓,07-6613077,養護,90.10.19,40,
153,私立,財團法人高雄市私立合信興老人養護中心,謝甲任,旗山區,高雄市旗山區旗南三路112之2號1-4樓,07-6661236,養護,94.03.16,81,
154,私立,財團法人高雄市私立寶光建德社會福利慈善事業基金會附設高雄市私立彌勒家園老人長期照顧中心(養護型),林再錦,六龜區,高雄市六龜區新寮里新威175-6號,07-6871708,養護,106.01.26,156,
155,私立,高雄市私立宏鑫老人長期照顧中心（養護型）,吳秀湘,梓官區,高雄市梓官區公館路139號1至3樓,07-6103630,養護,108.03.21,49,
